# z-bin center = 121.0000000000 (query z = 120.0000000000)
# angle center, pdf
-0.9799972725	0.0041898174
-0.9399973395	0.0059854534
-0.8999974066	0.0113723615
-0.8599974736	0.0197519963
-0.8199975406	0.0197519963
-0.7799976077	0.0191534510
-0.7399976747	0.0287301765
-0.6999977417	0.0383069020
-0.6599978088	0.0526719902
-0.6199978758	0.0580588983
-0.5799979428	0.0658399878
-0.5399980099	0.0957672549
-0.4999980769	0.0933730735
-0.4599981439	0.1083367071
-0.4199982110	0.1436508824
-0.3799982780	0.1478406998
-0.3399983450	0.1687897868
-0.2999984121	0.1903374191
-0.2599984791	0.2058995981
-0.2199985461	0.2460021361
-0.1799986132	0.2849075834
-0.1399986802	0.2789221299
-0.0999987472	0.2914915822
-0.0599988143	0.3453606630
-0.0199988813	0.3878573824
0.0200010517	0.4195802856
0.0600009846	0.4064122881
0.1000009176	0.4477119167
0.1400008506	0.4740479118
0.1800007835	0.5279169927
0.2200007165	0.5584428052
0.2600006495	0.6003409793
0.3000005824	0.6416406079
0.3400005154	0.6458304253
0.3800004484	0.6853344180
0.4200003813	0.7493787697
0.4600003143	0.7697293114
0.5000002473	0.8421532979
0.5400001802	0.8421532979
0.5800001132	0.8822558359
0.6200000462	1.0312936264
0.6599999791	1.0145343568
0.6999999121	1.0444616239
0.7399998451	1.1037176129
0.7799997780	1.1396303335
0.8199997110	1.2862739426
0.8599996439	1.3329604794
0.8999995769	1.3461284769
0.9399995099	1.3892237416
0.9799994428	1.5065386289
